Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
170,2018,2,26,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
171,2017,9,28,Córdoba,Volcamiento,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
172,2017,11,29,Antioquia,Choque,Sin causa especifica,Recta,Plano,Media ladera Izquierda,0,0,0
173,2017,3,16,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,3,0
174,2018,7,16,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
175,2017,6,4,Córdoba,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
176,2018,3,3,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
177,2017,6,29,Córdoba,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
178,2017,9,28,Córdoba,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
179,2016,12,17,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
180,2018,1,1,Caldas,Choque,Sin causa especifica,Recta,Montañoso,Terraplen,0,0,0
181,2018,3,30,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
182,2016,12,15,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
183,2017,2,17,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
184,2019,2,16,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
185,2017,4,21,Casanare,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,2,0
186,2017,10,4,Córdoba,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
187,2017,1,8,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
188,2017,3,10,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
189,2018,7,22,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
190,2014,4,20,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,2,0
191,2017,3,12,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
192,2018,6,3,Caquetá,Choque,Sin causa especifica,Curva Derecha,Plano,Terraplen,0,0,0
193,2017,8,12,Quindío,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media Ladera Derecha,0,0,0
194,2018,1,4,Tolima,Volcamiento,Sin causa especifica,Curva Derecha,Escarpado,Media Ladera Derecha,0,4,0
195,2018,3,2,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
196,2018,7,16,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
197,2017,11,17,Tolima,Choque,Sin causa especifica,Curva Derecha,Escarpado,Media ladera Izquierda,0,0,0
198,2018,3,10,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
199,2017,12,23,Tolima,Choque,Sin causa especifica,Curva Izquierda,Escarpado,Media Ladera Derecha,0,0,0
200,2017,1,12,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
201,2018,3,29,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
202,2018,6,30,Quindío,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,1
203,2017,1,18,Putumayo,Choque,Sin causa especifica,Recta,Plano,Cajón,0,1,0
204,2017,8,12,Quindío,Choque,Sin causa especifica,Curva Derecha,Montañoso,Cajón,0,0,0
205,2018,6,20,Caquetá,Salida de la vía sin volcarse,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
206,2017,4,2,Casanare,Choque,Sin causa especifica,Recta,Ondulado,Terraplen,1,0,0
207,2018,8,19,Casanare,Choque,Sin causa especifica,Recta,Montañoso,Media Ladera Derecha,0,0,0
208,2017,4,2,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media Ladera Derecha,0,0,0
209,2018,2,20,Quindío,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Terraplen,0,1,0
210,2017,7,7,Norte de Santander,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
211,2018,3,25,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,4,0
212,2017,1,5,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,2,1
213,2018,5,30,Antioquia,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
214,2018,5,24,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,1,0
215,2017,4,6,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
216,2018,3,23,Caldas,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
217,2017,4,15,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,3,0
218,2017,2,22,Antioquia,Choque,Sin causa especifica,Recta,Plano,Media ladera Izquierda,0,0,0
219,2018,12,8,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
220,2017,3,29,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,1
221,2017,5,17,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
